original,cleaned
Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp8,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-Sp8
Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp8,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc-Sp8
Galb1-4GlcNAcb1-6(Galb1-3)GalNAc-Sp14,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc-Sp14
Galb1-4GlcNAcb-Sp0,Gal(b1-4)GlcNAc-Sp0
Galb1-4GlcNAcb-Sp8,Gal(b1-4)GlcNAc-Sp8
Galb1-4GlcNAcb-Sp23,Gal(b1-4)GlcNAc-Sp23
Galb1-4Glcb-Sp0,Gal(b1-4)Glc-Sp0
Galb1-4Glcb-Sp8,Gal(b1-4)Glc-Sp8
GlcNAca1-3Galb1-4GlcNAcb-Sp8,GlcNAc(a1-3)Gal(b1-4)GlcNAc-Sp8
GlcNAca1-6Galb1-4GlcNAcb-Sp8,GlcNAc(a1-6)Gal(b1-4)GlcNAc-Sp8
GlcNAcb1-2Galb1-3GalNAca-Sp8,GlcNAc(b1-2)Gal(b1-3)GalNAc-Sp8
GlcNAcb1-6(GlcNAcb1-3)GalNAca-Sp8,GlcNAc(b1-3)[GlcNAc(b1-6)]GalNAc-Sp8
GlcNAcb1-6(GlcNAcb1-3)GalNAca-Sp14,GlcNAc(b1-3)[GlcNAc(b1-6)]GalNAc-Sp14
GlcNAcb1-6(GlcNAcb1-3)Galb1-4GlcNAcb-Sp8,GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc-Sp8
GlcNAcb1-3GalNAca-Sp8,GlcNAc(b1-3)GalNAc-Sp8
GlcNAcb1-3GalNAca-Sp14,GlcNAc(b1-3)GalNAc-Sp14
GlcNAcb1-3Galb-Sp8,GlcNAc(b1-3)Gal-Sp8
GlcNAcb1-3Galb1-4GlcNAcb-Sp0,GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
GlcNAcb1-3Galb1-4GlcNAcb-Sp8,GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp8
GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
GlcNAcb1-3Galb1-4Glcb-Sp0,GlcNAc(b1-3)Gal(b1-4)Glc-Sp0
GlcNAcb1-4-MDPLys,GlcNAc(b1-4)-MDPLys
GlcNAcb1-6(GlcNAcb1-4)GalNAca-Sp8,GlcNAc(b1-4)[GlcNAc(b1-6)]GalNAc-Sp8
GlcNAcb1-4Galb1-4GlcNAcb-Sp8,GlcNAc(b1-4)Gal(b1-4)GlcNAc-Sp8
GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-Sp8,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc-Sp8
GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-Sp8,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc-Sp8
GlcNAcb1-4GlcNAcb1-4GlcNAcb-Sp8,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc-Sp8
GlcNAcb1-6GalNAca-Sp8,GlcNAc(b1-6)GalNAc-Sp8
GlcNAcb1-6GalNAca-Sp14,GlcNAc(b1-6)GalNAc-Sp14
GlcNAcb1-6Galb1-4GlcNAcb-Sp8,GlcNAc(b1-6)Gal(b1-4)GlcNAc-Sp8
Glca1-4Glcb-Sp8,Glc(a1-4)Glc-Sp8
Glca1-4Glca-Sp8,Glc(a1-4)Glc-Sp8
Glca1-6Glca1-6Glcb-Sp8,Glc(a1-6)Glc(a1-6)Glc-Sp8
Glcb1-4Glcb-Sp8,Glc(b1-4)Glc-Sp8
Glcb1-6Glcb-Sp8,Glc(b1-6)Glc-Sp8
G-ol-Sp8,Glcol-Sp8
GlcAa-Sp8,GlcA-Sp8
GlcAb-Sp8,GlcA-Sp8
GlcAb1-3Galb-Sp8,GlcA(b1-3)Gal-Sp8
GlcAb1-6Galb-Sp8,GlcA(b1-6)Gal-Sp8
KDNa2-3Galb1-3GlcNAcb-Sp0,Kdn(a2-3)Gal(b1-3)GlcNAc-Sp0
KDNa2-3Galb1-4GlcNAcb-Sp0,Kdn(a2-3)Gal(b1-4)GlcNAc-Sp0
Mana1-2Mana1-2Mana1-3Mana-Sp9,Man(a1-2)Man(a1-2)Man(a1-3)Man-Sp9
Mana1-2Mana1-6(Mana1-2Mana1-3)Mana-Sp9,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man-Sp9
Mana1-2Mana1-3Mana-Sp9,Man(a1-2)Man(a1-3)Man-Sp9
Mana1-6(Mana1-2Mana1-3)Mana1-6(Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Mana1-2Mana1-6(Mana1-3)Mana1-6(Mana1-2Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Mana1-2Mana1-6(Mana1-2Mana1-3)Mana1-6(Mana1-2Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc-Sp12
Mana1-6(Mana1-3)Mana-Sp9,Man(a1-3)[Man(a1-6)]Man-Sp9
Mana1-2Mana1-2Mana1-6(Mana1-3)Mana-Sp9,Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man-Sp9
